model,case,dice_cls1,iou_cls1,precision_cls1,recall_cls1,vol_diff_cls1,dice_cls2,iou_cls2,precision_cls2,recall_cls2,vol_diff_cls2
baseline,case_100,0.5668216347694397,0.39549970626831055,0.5908259749412537,0.5446916222572327,0.07808444053660679,6.370688481957543e-13,6.370688481957543e-13,1.0,6.370688481957543e-13,0.999999999999363
joint,case_100,0.5669940114021301,0.3956676125526428,0.6774306297302246,0.4875175654888153,0.28034321319839745,6.370688481957543e-13,6.370688481957543e-13,1.0,6.370688481957543e-13,0.999999999999363
baseline,case_101,0.6165341138839722,0.4456446170806885,0.668561577796936,0.5720195770263672,0.14440250858158984,2.6424337978142587e-12,2.6424337978142587e-12,1.0,2.6424337978142587e-12,0.9999999999973576
joint,case_101,0.5817145109176636,0.410153329372406,0.7629078030586243,0.470071017742157,0.3838429484365206,2.6414914092859343e-12,2.6414914092859343e-12,7.407407576209835e-09,2.6424337978142587e-12,0.9996432714360844
baseline,case_102,0.595244824886322,0.4237356185913086,0.5648443698883057,0.6291037201881409,0.11376466432098507,2.0940653724932368e-11,2.0940653724932368e-11,1.0,2.0940653724932368e-11,0.9999999999790593
joint,case_102,0.6105746626853943,0.43944403529167175,0.6211788058280945,0.6003265380859375,0.0335688871396486,2.0940653724932368e-11,2.0940653724932368e-11,1.0,2.0940653724932368e-11,0.9999999999790593
baseline,case_103,0.5560036301612854,0.38504502177238464,0.6745240092277527,0.47290894389152527,0.2988997485511276,1.3194874880217977e-11,1.3194874880217977e-11,1.0,1.3194874880217977e-11,0.9999999999868052
joint,case_103,0.6132155060768127,0.4421851634979248,0.6364448666572571,0.5916221141815186,0.07042670485910894,1.3193134085209834e-11,1.3193134085209834e-11,9.999998695775503e-08,1.3194874880217977e-11,0.9998680512357019
baseline,case_104,0.18715158104896545,0.10323619842529297,0.49167129397392273,0.11557158827781677,0.764941345868542,3.624265167492813e-12,3.624265167492813e-12,1.0,3.624265167492813e-12,0.9999999999963757
joint,case_104,0.021167179569602013,0.01069680042564869,0.34312692284584045,0.010920424945652485,0.968173802566055,3.624265167492813e-12,3.624265167492813e-12,1.0,3.624265167492813e-12,0.9999999999963757
baseline,case_105,0.5817201137542725,0.4101589024066925,0.7333945035934448,0.4820306599140167,0.3427403033759647,1.0,1.0,1.0,1.0,0.0
joint,case_105,0.4110866189002991,0.25872185826301575,0.6857154369354248,0.2935285270214081,0.5719382681436468,2.4390244490746227e-08,2.4390244490746227e-08,2.4390244490746227e-08,1.0,41000000.0
baseline,case_106,0.4549486041069031,0.29445531964302063,0.9714480638504028,0.2970258891582489,0.694244209178519,1.0,1.0,1.0,1.0,0.0
